job_title,years_experience,education_level,location,company_size,industry,performance_rating,certifications,salary
HR Manager,9,Master,Seattle,Medium,Healthcare,1.5253407083042712,5,57731
Project Manager,0,High School,Austin,Medium,Retail,4.902053464739058,3,101817
DevOps Engineer,1,Master,New York,Large,Finance,1.519771998358923,2,85363
Software Engineer,0,Bachelor,Boston,Startup,Healthcare,2.779225374446034,5,56884
Business Analyst,1,PhD,Remote,Large,Finance,2.7734141324221055,5,114775
Business Analyst,0,High School,Chicago,Startup,Technology,1.0345542252504223,2,30000
UX Designer,5,PhD,New York,Large,Manufacturing,3.6711918957077994,0,196040
Project Manager,0,PhD,Chicago,Large,Manufacturing,3.1528422906967832,3,139284
Project Manager,9,Bachelor,Boston,Large,Finance,2.9899847549220473,0,127114
Product Manager,8,Bachelor,Remote,Small,Manufacturing,4.272339353438564,5,156677
Project Manager,0,Bachelor,Chicago,Large,Manufacturing,1.964548746993363,0,58031
Finance Analyst,11,Bachelor,New York,Small,Technology,4.444387239139006,4,159217
Marketing Manager,0,High School,Chicago,Large,Manufacturing,4.459114652066199,1,85970
DevOps Engineer,1,Master,Remote,Startup,Manufacturing,4.307449263666404,2,111904
Product Manager,0,Master,New York,Small,Healthcare,2.3655911001573013,3,100463
Sales Representative,2,High School,Austin,Startup,Manufacturing,1.6502297593826092,2,30000
Product Manager,3,PhD,San Francisco,Startup,Finance,2.900708437519538,0,139822
Finance Analyst,7,High School,New York,Startup,Manufacturing,2.0393642333054705,1,44379
Sales Representative,2,Master,Seattle,Small,Finance,1.2087261810389531,0,30000
DevOps Engineer,6,Master,San Francisco,Medium,Manufacturing,2.1178800481577214,2,121386
Finance Analyst,1,High School,Chicago,Small,Finance,2.87651324670915,4,44093
Data Scientist,6,Bachelor,Remote,Medium,Manufacturing,1.450942173895862,2,54616
Marketing Manager,1,PhD,New York,Small,Finance,4.777334935508691,0,143947
DevOps Engineer,0,High School,Remote,Large,Manufacturing,3.624404724764773,3,117669
Project Manager,1,Master,New York,Medium,Technology,1.5453629247335336,3,61086
Data Scientist,1,Bachelor,Remote,Large,Healthcare,4.2482568031586,3,162055
UX Designer,3,PhD,Seattle,Medium,Healthcare,4.7123531832565,3,202469
DevOps Engineer,9,Master,Los Angeles,Small,Healthcare,2.051136284654233,3,80792
UX Designer,0,PhD,San Francisco,Small,Healthcare,1.573011029776112,5,77653
Sales Representative,6,Bachelor,San Francisco,Medium,Technology,2.2899020121702467,1,66836
Data Scientist,5,Master,New York,Large,Technology,4.328995198514104,1,255339
Marketing Manager,10,Bachelor,Chicago,Startup,Manufacturing,1.7003755713983901,4,44873
Project Manager,1,High School,Boston,Medium,Technology,4.117386347248137,3,100766
Project Manager,2,High School,Boston,Medium,Healthcare,3.8650530471728466,0,94173
Finance Analyst,13,PhD,San Francisco,Large,Retail,3.6054668302240516,0,224471
Project Manager,5,Bachelor,Los Angeles,Startup,Manufacturing,2.7332699973944954,2,75185
Operations Manager,2,Bachelor,Boston,Medium,Finance,2.4670811316037993,3,70914
Product Manager,0,PhD,Denver,Startup,Healthcare,1.3410319016879555,0,39654
Software Engineer,1,PhD,Boston,Startup,Healthcare,2.4294231410462883,5,93453
Marketing Manager,4,PhD,Atlanta,Small,Healthcare,3.407367224756665,4,111848
Data Scientist,6,High School,Remote,Large,Technology,4.592836864584685,0,151968
Operations Manager,0,PhD,San Francisco,Medium,Finance,4.332498152639332,5,186527
Marketing Manager,4,High School,Los Angeles,Medium,Manufacturing,1.1288629209602026,5,30000
Data Scientist,3,PhD,Chicago,Startup,Healthcare,1.5554515806379885,4,57804
HR Manager,3,Bachelor,New York,Medium,Finance,4.393951912419173,3,135495
HR Manager,5,Bachelor,Austin,Startup,Retail,4.757273460196892,2,81441
UX Designer,9,PhD,Seattle,Medium,Technology,1.2232353782929626,2,58270
Marketing Manager,1,PhD,San Francisco,Large,Healthcare,3.8050082564012273,1,221956
HR Manager,10,High School,Los Angeles,Medium,Finance,2.462932457856907,3,68497
Data Scientist,0,Master,New York,Startup,Finance,2.457160989900671,0,72348
UX Designer,0,High School,Austin,Startup,Healthcare,3.570676770102886,2,60340
Project Manager,1,Bachelor,Atlanta,Medium,Finance,4.24086435166684,5,105107
Data Scientist,0,PhD,San Francisco,Medium,Finance,2.0993502035214546,4,134567
UX Designer,1,Bachelor,Chicago,Startup,Manufacturing,3.821417376268844,5,85892
Marketing Manager,0,Master,Seattle,Small,Technology,3.543505235097407,4,118526
Operations Manager,8,High School,Austin,Small,Manufacturing,3.0692826464169536,0,49551
Finance Analyst,0,Bachelor,Chicago,Medium,Technology,3.4097029952616813,0,68869
Project Manager,6,High School,Boston,Large,Technology,1.072213531632102,3,31709
DevOps Engineer,0,PhD,New York,Medium,Manufacturing,1.0162637197906563,0,44957
Operations Manager,14,Bachelor,San Francisco,Large,Healthcare,3.2017542667694077,0,149091
Sales Representative,6,Master,New York,Medium,Finance,3.0964338590669773,0,103596
Data Scientist,0,High School,Austin,Startup,Retail,1.2853408213094215,2,30000
Sales Representative,7,High School,Denver,Medium,Manufacturing,2.9681053064922582,3,53421
Operations Manager,3,Master,Denver,Large,Manufacturing,4.030115100108412,0,126051
UX Designer,7,Bachelor,Seattle,Large,Healthcare,3.164809776060425,0,147349
DevOps Engineer,3,Bachelor,Boston,Medium,Finance,3.070457163031766,5,99148
Project Manager,5,High School,Atlanta,Medium,Manufacturing,3.8716338157030843,5,73080
Project Manager,7,Master,Los Angeles,Small,Retail,1.6873768278124444,4,64782
Project Manager,2,High School,San Francisco,Medium,Finance,2.829922128595065,2,79919
DevOps Engineer,0,High School,San Francisco,Medium,Manufacturing,1.5921915076138249,0,49802
Software Engineer,9,PhD,Austin,Startup,Manufacturing,3.09536118767096,2,114697
DevOps Engineer,2,Bachelor,Denver,Large,Technology,3.367765729874591,3,104274
Finance Analyst,3,Bachelor,Remote,Small,Technology,1.486693206471024,3,30883
DevOps Engineer,0,PhD,Atlanta,Startup,Manufacturing,1.3020607922462326,5,35750
Operations Manager,3,Bachelor,Austin,Medium,Healthcare,1.6669344444634517,1,42972
Software Engineer,21,Bachelor,Atlanta,Large,Technology,3.3453504932584854,4,161352
Project Manager,1,Bachelor,Remote,Medium,Manufacturing,1.7584766447916662,1,43153
Operations Manager,2,Master,Denver,Medium,Finance,2.100973239870784,2,51737
Operations Manager,5,PhD,Chicago,Medium,Retail,3.810183784744499,4,153978
Business Analyst,8,High School,Remote,Medium,Technology,1.9933793081205429,5,50124
Product Manager,2,Master,Austin,Large,Manufacturing,2.5901079578222763,0,113579
Software Engineer,1,High School,Los Angeles,Startup,Technology,4.715381438800947,5,85844
Operations Manager,13,PhD,Atlanta,Medium,Finance,4.299986445444449,5,169116
Product Manager,5,PhD,Boston,Medium,Healthcare,2.021889000632646,4,113011
Product Manager,0,PhD,Austin,Small,Manufacturing,3.390303205607259,4,138240
Software Engineer,0,Bachelor,Chicago,Small,Finance,3.663217690790671,3,84724
Business Analyst,3,Master,Los Angeles,Large,Retail,4.600966038924511,1,152216
Sales Representative,1,PhD,Denver,Medium,Manufacturing,3.1898692670901436,3,74806
UX Designer,1,High School,Seattle,Medium,Retail,3.2451475103310976,3,73238
Finance Analyst,10,Bachelor,San Francisco,Medium,Healthcare,4.5537888539098,1,188268
UX Designer,0,Bachelor,Remote,Large,Manufacturing,1.2175270207255537,3,39541
DevOps Engineer,6,Master,San Francisco,Large,Manufacturing,3.512565290040011,4,237599
Project Manager,1,Master,Austin,Medium,Finance,2.666596825911169,2,80551
Finance Analyst,7,Master,Denver,Medium,Technology,4.639053539984346,0,118240
DevOps Engineer,6,Bachelor,New York,Large,Manufacturing,4.842161086327122,0,219573
Operations Manager,0,PhD,Los Angeles,Medium,Healthcare,1.6809890569040666,3,55108
Project Manager,3,High School,Boston,Startup,Manufacturing,2.1258738824721606,1,43507
Data Scientist,0,PhD,San Francisco,Startup,Manufacturing,2.093831611050899,4,107327
Software Engineer,10,High School,Atlanta,Large,Manufacturing,1.4025105090468841,3,44656
Finance Analyst,10,PhD,Chicago,Startup,Manufacturing,2.9317756218851954,4,86872
Finance Analyst,2,Master,San Francisco,Small,Healthcare,3.052325642918102,4,103491
Operations Manager,2,High School,Austin,Medium,Finance,3.291913038638217,5,67275
Sales Representative,1,Bachelor,Los Angeles,Small,Technology,3.651833465785021,0,71496
Product Manager,6,High School,Los Angeles,Small,Healthcare,1.2516698098589703,2,30000
Project Manager,2,Bachelor,Remote,Small,Healthcare,3.4899341831695763,2,88141
Operations Manager,1,PhD,New York,Startup,Retail,4.655237152696211,1,150890
HR Manager,2,Master,Remote,Medium,Technology,2.8199639159309386,2,73790
Business Analyst,0,High School,Seattle,Medium,Finance,1.4268497732712158,3,33922
Product Manager,6,Bachelor,Boston,Large,Finance,1.3437761069137184,0,53858
Software Engineer,0,PhD,Denver,Small,Retail,2.1270090516436175,0,59658
Product Manager,5,Master,Austin,Startup,Retail,4.010098505189363,4,143083
Sales Representative,1,Master,Austin,Small,Healthcare,2.0439986212703625,3,44760
Product Manager,1,Master,Denver,Small,Finance,4.257323649204685,3,131552
Software Engineer,5,PhD,Denver,Medium,Finance,4.278636587863856,4,182005
Sales Representative,24,PhD,Denver,Large,Finance,2.8284473521268434,5,128346
UX Designer,7,PhD,New York,Startup,Healthcare,2.203155371615898,5,116957
Finance Analyst,1,Master,Denver,Medium,Finance,3.3906686108361432,4,85395
Finance Analyst,0,High School,Denver,Small,Manufacturing,4.242120595827242,0,64392
Business Analyst,10,Bachelor,San Francisco,Medium,Retail,1.258283192003375,3,50614
DevOps Engineer,2,PhD,Atlanta,Small,Retail,4.813694173306409,2,167784
UX Designer,0,High School,Los Angeles,Startup,Retail,3.583601099766423,2,67956
UX Designer,9,Bachelor,Denver,Medium,Retail,2.5925910252225766,0,78829
Project Manager,8,Master,San Francisco,Medium,Manufacturing,3.0240769421464226,2,162564
Product Manager,20,High School,Seattle,Medium,Technology,2.542369987107431,2,105196
Finance Analyst,12,Master,Los Angeles,Medium,Finance,2.6504441165177606,3,87206
Software Engineer,9,Bachelor,Boston,Medium,Retail,3.382466443368483,3,114109
Marketing Manager,0,PhD,Los Angeles,Startup,Finance,1.2409619874286815,1,37379
Marketing Manager,0,Master,New York,Large,Finance,1.7015084999398487,3,66267
Sales Representative,4,High School,Denver,Startup,Manufacturing,1.9081582792141027,1,30000
Finance Analyst,3,PhD,Los Angeles,Medium,Finance,2.6300570971133723,5,106669
Finance Analyst,3,High School,Seattle,Small,Retail,2.4842301183092417,3,54617
Business Analyst,2,Bachelor,New York,Small,Finance,3.888818238673852,4,118736
Marketing Manager,2,Bachelor,Denver,Medium,Manufacturing,2.0367174748292918,3,40771
Finance Analyst,4,PhD,Remote,Large,Retail,1.2282885344282137,1,42527
Business Analyst,0,High School,Los Angeles,Medium,Manufacturing,1.2217689846089241,2,30000
Product Manager,1,High School,Denver,Startup,Healthcare,1.0452523430932517,3,30000
HR Manager,3,High School,Remote,Large,Technology,1.1521040261573505,2,30000
Project Manager,6,High School,New York,Large,Finance,4.434642698991017,2,165693
Data Scientist,0,Bachelor,Chicago,Startup,Finance,3.7889716711189867,3,100022
UX Designer,3,High School,Atlanta,Large,Finance,4.983724663592168,3,103143
DevOps Engineer,6,Bachelor,Chicago,Medium,Healthcare,1.0812509124868264,4,34486
Sales Representative,2,High School,Remote,Medium,Technology,4.396006204301278,5,86239
HR Manager,0,High School,Austin,Small,Manufacturing,3.784225317064974,1,68512
Project Manager,2,Master,Atlanta,Startup,Healthcare,3.561369725905972,3,92133
Project Manager,1,Master,Atlanta,Large,Healthcare,2.4261285024767356,2,67486
Project Manager,13,High School,Seattle,Large,Retail,2.5069096591599145,2,115851
Project Manager,0,Bachelor,Seattle,Large,Healthcare,4.382244762041217,3,159168
Marketing Manager,5,High School,Denver,Medium,Healthcare,3.8539355130451622,1,78203
Business Analyst,0,Master,Los Angeles,Startup,Finance,3.681266321409244,5,93118
UX Designer,2,High School,Chicago,Medium,Retail,1.1225973137991092,2,30000
Finance Analyst,4,Master,Boston,Large,Manufacturing,1.7372785425548427,5,70444
Project Manager,1,High School,Austin,Medium,Technology,4.85049784094804,5,141072
DevOps Engineer,3,PhD,Boston,Large,Manufacturing,2.817484999160751,4,178715
Finance Analyst,0,High School,Denver,Large,Retail,4.125572920896952,2,68265
Software Engineer,1,Bachelor,Remote,Medium,Finance,2.5573009048896935,1,58614
Software Engineer,4,Master,Atlanta,Large,Technology,4.057291508572688,0,121605
DevOps Engineer,1,PhD,Austin,Medium,Manufacturing,1.4768502724220443,4,66342
Business Analyst,11,Master,Denver,Small,Technology,1.1685120785091905,4,40479
DevOps Engineer,4,Master,Austin,Medium,Technology,2.864706286082474,0,77440
Marketing Manager,2,Bachelor,San Francisco,Small,Technology,3.36658478689798,4,118928
DevOps Engineer,0,High School,Chicago,Small,Healthcare,2.2948075652257653,4,48483
Product Manager,3,Bachelor,Seattle,Medium,Retail,3.8640185119191135,4,170024
Finance Analyst,7,High School,Chicago,Startup,Retail,2.9832785955491365,2,44859
HR Manager,1,PhD,Boston,Startup,Finance,4.713267390173771,2,130929
Operations Manager,8,Bachelor,Austin,Medium,Manufacturing,1.3399620699209156,3,42002
Business Analyst,1,Bachelor,New York,Medium,Finance,1.2662734576043202,3,36013
DevOps Engineer,8,Master,Seattle,Large,Manufacturing,4.620487408987944,2,237386
Sales Representative,0,Bachelor,Boston,Large,Technology,3.676428531229636,4,101563
Software Engineer,10,High School,San Francisco,Medium,Manufacturing,3.6844731525261527,1,142930
Product Manager,3,Bachelor,San Francisco,Startup,Manufacturing,1.1102208891230645,0,38206
UX Designer,1,Bachelor,New York,Large,Technology,4.750700901954392,3,214528
Project Manager,1,PhD,Atlanta,Large,Finance,4.087300223721864,4,163125
Operations Manager,2,High School,Austin,Startup,Manufacturing,4.057259271225389,3,71380
Business Analyst,34,Master,San Francisco,Medium,Finance,4.647718565388175,5,388089
HR Manager,1,High School,Seattle,Startup,Finance,3.31261266436123,1,56349
Operations Manager,0,PhD,Boston,Small,Retail,2.578665562255225,5,78469
DevOps Engineer,4,High School,New York,Large,Technology,2.922716674342002,4,115586
Marketing Manager,3,High School,Atlanta,Large,Technology,4.108962813268624,2,94143
Software Engineer,3,Bachelor,Atlanta,Large,Healthcare,4.074919930055407,1,119676
Software Engineer,5,Bachelor,Denver,Startup,Finance,3.438346485710942,3,77868
UX Designer,1,High School,Boston,Startup,Healthcare,1.8723214398390047,4,39476
Marketing Manager,12,High School,Seattle,Medium,Technology,4.27553636538814,5,134333
Project Manager,2,Master,San Francisco,Large,Technology,3.5889662728407865,4,187685
Finance Analyst,0,PhD,Denver,Small,Healthcare,1.8850480835796368,0,42205
Data Scientist,6,Bachelor,Los Angeles,Medium,Technology,2.9225777990293484,0,101244
Product Manager,5,Bachelor,Seattle,Startup,Technology,4.988825322991431,5,155142
Software Engineer,1,Bachelor,Austin,Small,Retail,2.313519356321587,0,61912
Sales Representative,4,Bachelor,Boston,Medium,Manufacturing,1.4662424590834036,2,31242
Software Engineer,1,High School,New York,Startup,Retail,1.086669668736672,4,30000
Operations Manager,2,High School,San Francisco,Small,Manufacturing,1.7385294286417183,4,47698
Software Engineer,11,Master,Los Angeles,Medium,Retail,1.7478652242548516,3,86175
Business Analyst,0,Bachelor,Austin,Small,Retail,4.4322737794652625,2,107551
Software Engineer,2,Bachelor,New York,Startup,Finance,1.624618996790025,0,40654
Data Scientist,8,High School,San Francisco,Medium,Healthcare,4.450603767513722,4,194735
Data Scientist,17,Master,Remote,Startup,Retail,1.3468660337725584,0,59888
Project Manager,3,High School,Remote,Large,Finance,4.626577199402535,1,109276
HR Manager,3,Bachelor,Atlanta,Large,Retail,2.0254140076853497,2,48491
Finance Analyst,4,Bachelor,Los Angeles,Small,Healthcare,3.4459922479608123,0,74413
Sales Representative,13,PhD,Los Angeles,Large,Finance,1.638908739115248,2,84809
Software Engineer,9,PhD,Remote,Startup,Manufacturing,2.560222526694426,5,101300
Software Engineer,0,PhD,Denver,Small,Healthcare,1.3430712187337979,4,43052
Product Manager,2,Master,Denver,Medium,Technology,3.3181128170273695,1,102497
Data Scientist,3,High School,Atlanta,Startup,Finance,2.383509946112752,3,40268
Sales Representative,7,Bachelor,San Francisco,Medium,Technology,4.408600334448639,1,113801
Project Manager,4,Bachelor,Denver,Medium,Finance,1.727265913196911,2,42266
UX Designer,5,Master,Denver,Medium,Manufacturing,2.119952257685247,1,66593
HR Manager,31,Bachelor,Chicago,Medium,Finance,1.709018709509174,4,70510
Finance Analyst,0,Bachelor,Chicago,Startup,Retail,3.2552911209441207,2,60536
Marketing Manager,1,High School,Seattle,Large,Technology,1.4469887350499486,2,42453
Finance Analyst,2,PhD,Chicago,Startup,Technology,1.7574280210434194,4,48446
Business Analyst,2,PhD,San Francisco,Large,Finance,3.713959773768048,5,234006
Operations Manager,0,Master,San Francisco,Medium,Retail,1.2976581061437606,0,51826
Business Analyst,0,PhD,Chicago,Large,Retail,3.972654688377918,3,131285
Software Engineer,5,PhD,Austin,Medium,Finance,1.4173339563376546,5,68316
HR Manager,10,Master,New York,Small,Healthcare,3.341955038335217,5,133970
Operations Manager,3,Master,Atlanta,Medium,Manufacturing,4.991237822331794,1,125842
Sales Representative,3,PhD,San Francisco,Large,Finance,1.6955716271560024,5,83352
Marketing Manager,1,High School,Remote,Small,Retail,2.0443452746652575,3,37296
Data Scientist,7,Master,San Francisco,Small,Manufacturing,4.593706615956211,3,242464
HR Manager,6,Bachelor,Seattle,Medium,Finance,3.5051461380170874,5,119188
HR Manager,4,Master,San Francisco,Startup,Manufacturing,2.970125195217243,4,100311
Business Analyst,1,Bachelor,Los Angeles,Large,Healthcare,3.2508203890801455,0,99795
Software Engineer,0,Master,Remote,Small,Retail,2.1819813785532887,3,74460
DevOps Engineer,0,Master,New York,Startup,Healthcare,4.421287127807654,2,150237
Project Manager,4,PhD,San Francisco,Medium,Healthcare,3.981076100134115,5,225541
Business Analyst,8,PhD,Chicago,Medium,Retail,3.5698657293356617,0,146407
HR Manager,9,PhD,San Francisco,Medium,Healthcare,4.726970392908539,4,230405
Product Manager,3,High School,Atlanta,Medium,Finance,3.312443442170702,5,73971
Marketing Manager,7,PhD,Seattle,Large,Finance,3.047508434181267,3,161284
Project Manager,14,PhD,Atlanta,Small,Manufacturing,4.902773609336032,5,191171
Business Analyst,1,Master,New York,Large,Finance,1.8240564530655465,4,85289
Marketing Manager,2,Master,New York,Small,Finance,1.5678726927908184,1,50814
Product Manager,13,High School,New York,Startup,Manufacturing,1.6491314781351338,4,50940
UX Designer,2,Bachelor,Seattle,Startup,Technology,4.957768032064784,2,139723
Product Manager,12,Master,Atlanta,Small,Retail,3.609004219590777,4,117959
Product Manager,19,Master,Denver,Medium,Finance,2.2236915275260527,0,102156
Marketing Manager,5,Bachelor,Los Angeles,Startup,Manufacturing,1.9959112173974223,1,48379
Finance Analyst,8,High School,New York,Large,Healthcare,1.2265543603626874,5,46529
Marketing Manager,6,Master,Austin,Small,Healthcare,1.5277893148160304,5,50042
DevOps Engineer,6,PhD,Atlanta,Startup,Finance,4.632690325347147,2,139642
Software Engineer,1,High School,Atlanta,Small,Retail,3.989364242878359,1,70123
Operations Manager,0,Bachelor,Chicago,Medium,Manufacturing,4.766238938015987,2,113635
Finance Analyst,2,Bachelor,Boston,Small,Manufacturing,2.694923745820835,5,63072
Data Scientist,5,PhD,Boston,Startup,Manufacturing,3.404948984244841,1,146215
Operations Manager,0,PhD,Remote,Small,Manufacturing,2.934685035995962,3,78250
Software Engineer,0,PhD,Seattle,Startup,Manufacturing,4.52554158595128,4,143045
Business Analyst,0,High School,New York,Startup,Retail,4.965527548691252,0,85869
Project Manager,6,Bachelor,Chicago,Startup,Manufacturing,4.731100830601478,0,117527
DevOps Engineer,18,PhD,New York,Large,Retail,3.3922233911304795,3,344771
DevOps Engineer,20,PhD,New York,Medium,Retail,1.2472079087528867,1,86108
Data Scientist,3,Bachelor,Chicago,Medium,Retail,3.4701064520885865,4,126251
Finance Analyst,10,Master,Chicago,Small,Healthcare,1.3881896861244636,3,42559
UX Designer,6,High School,Los Angeles,Small,Technology,1.5552858945427968,1,30000
Product Manager,3,Master,San Francisco,Startup,Finance,1.76537879275654,4,78050
Finance Analyst,4,PhD,Boston,Medium,Healthcare,2.453973684219028,1,102197
Project Manager,0,High School,San Francisco,Small,Technology,3.367145934601982,0,80098
UX Designer,13,Master,Remote,Small,Healthcare,2.334214696694952,4,101547
DevOps Engineer,2,Bachelor,Chicago,Medium,Retail,2.8090684293441304,0,88541
Marketing Manager,2,PhD,Seattle,Startup,Retail,1.189156132339737,0,38006
Project Manager,5,High School,Remote,Small,Manufacturing,3.4790312028976884,4,73314
Software Engineer,2,High School,Chicago,Startup,Retail,3.628127062023768,3,74588
Data Scientist,1,High School,San Francisco,Medium,Healthcare,1.3975605921997922,1,50499
Software Engineer,4,High School,Denver,Medium,Finance,4.140468623972792,4,83475
Project Manager,0,PhD,Denver,Small,Retail,3.5898382306479415,5,114002
Sales Representative,6,PhD,Boston,Small,Technology,2.9589177171254533,0,94328
Sales Representative,3,Bachelor,Austin,Medium,Healthcare,3.211439496726184,1,69834
Business Analyst,4,Bachelor,Seattle,Startup,Technology,3.0121829382111827,4,75893
Finance Analyst,4,Bachelor,New York,Startup,Manufacturing,1.215171774910936,3,30000
DevOps Engineer,3,Master,Atlanta,Large,Manufacturing,3.9405978437235345,4,178978
DevOps Engineer,4,Bachelor,Remote,Medium,Finance,3.047242547522147,4,101246
Product Manager,5,PhD,Chicago,Small,Healthcare,1.6912954139878327,2,65708
Product Manager,6,Master,Denver,Medium,Finance,3.722923414987198,5,135078
Product Manager,6,PhD,Austin,Small,Technology,3.78026242424822,1,154477
Marketing Manager,10,Master,Seattle,Startup,Finance,1.8539818776514263,4,56450
Operations Manager,1,Bachelor,Seattle,Small,Technology,4.185980290897772,0,118161
HR Manager,2,Bachelor,Denver,Large,Finance,2.8260189035240595,0,63146
Operations Manager,14,Bachelor,Atlanta,Startup,Manufacturing,1.7224384500282302,2,32928
Software Engineer,2,Master,Austin,Large,Healthcare,3.630480013252156,0,128988
Operations Manager,0,PhD,Los Angeles,Medium,Finance,3.38690785813739,4,136052
Marketing Manager,3,High School,Atlanta,Small,Technology,1.6816253032938198,1,30000
Business Analyst,0,PhD,San Francisco,Startup,Healthcare,4.489395599110671,2,149018
Software Engineer,1,Bachelor,Seattle,Small,Manufacturing,4.418137330825488,5,142861
Operations Manager,31,Master,Austin,Large,Manufacturing,4.344978351424171,2,278273
Marketing Manager,3,Master,Denver,Startup,Retail,2.596911435852405,3,60065
HR Manager,1,Bachelor,Seattle,Large,Healthcare,4.298491099025361,3,136413
Operations Manager,26,Master,Atlanta,Startup,Finance,4.3791812335254825,1,143589
Marketing Manager,16,Bachelor,New York,Medium,Manufacturing,4.986161088449205,1,200273
Product Manager,2,PhD,New York,Medium,Finance,4.8304184726945945,2,239347
DevOps Engineer,1,Master,Seattle,Small,Finance,2.531389340150817,4,91871
Product Manager,9,High School,Austin,Large,Technology,1.7928169993220973,4,59320
DevOps Engineer,6,Master,Austin,Large,Finance,2.169849571425503,3,101746
Data Scientist,5,Bachelor,Remote,Startup,Retail,2.9791249066635705,1,75816
Data Scientist,11,High School,San Francisco,Medium,Healthcare,4.221830535428449,1,179222
Data Scientist,5,Bachelor,Remote,Small,Healthcare,3.8919362229043797,4,120175
HR Manager,1,Master,Remote,Medium,Technology,4.150851035245445,3,101922
Product Manager,5,High School,San Francisco,Large,Retail,2.5197054919544084,4,88693
DevOps Engineer,1,High School,Denver,Small,Retail,1.987618577131812,4,36204
Marketing Manager,7,Master,New York,Medium,Healthcare,1.096518694873839,2,45045
Software Engineer,4,High School,Denver,Medium,Retail,3.5047344883153135,1,83649
Marketing Manager,0,PhD,Remote,Startup,Manufacturing,4.180150943332502,2,109693
Software Engineer,3,High School,Austin,Startup,Finance,4.55656197636033,2,75223
Sales Representative,2,High School,San Francisco,Large,Finance,2.904951533405561,4,78581
Marketing Manager,1,PhD,Atlanta,Medium,Healthcare,4.710583112829019,3,131701
Operations Manager,4,Bachelor,Chicago,Startup,Healthcare,1.8096482465294343,4,41911
Operations Manager,1,Bachelor,Chicago,Medium,Retail,3.0575124925781236,5,65472
Finance Analyst,7,PhD,Boston,Small,Technology,1.8550709794792564,3,78424
Product Manager,0,High School,Seattle,Medium,Healthcare,1.752302050343868,1,48062
Software Engineer,5,Master,Los Angeles,Medium,Healthcare,4.813552528009407,5,196089
Software Engineer,8,PhD,Los Angeles,Large,Healthcare,4.270962754920391,5,223395
Project Manager,5,Master,Atlanta,Small,Retail,1.0471995857650582,5,30000
Business Analyst,3,Bachelor,Boston,Small,Manufacturing,2.074051980553828,0,53144
Product Manager,15,PhD,New York,Startup,Healthcare,1.8205410042148915,1,115452
HR Manager,1,Master,Atlanta,Small,Manufacturing,1.5885367205783703,4,37071
Finance Analyst,0,High School,Remote,Large,Retail,3.78964971745857,3,93829
HR Manager,2,PhD,Atlanta,Startup,Technology,3.267351325341867,5,81698
HR Manager,0,Master,Chicago,Medium,Finance,2.8157382830004427,0,67694
HR Manager,15,PhD,Los Angeles,Small,Finance,1.757988233759257,5,93211
Product Manager,1,PhD,New York,Medium,Finance,2.1104722251266264,3,105680
HR Manager,7,Bachelor,Seattle,Startup,Finance,2.4244041960983713,3,60025
